卷號,上,右,左,下,卷號,上寬,右高,左高,下寬,上寬-下寬,左高-右高,,列標籤,計數 - 上寬-下寬
100005365896_#1.jpg _P1,1464.000342,2148.000931,2145,1462.005472,100005365896_#1.jpg _P1,1464,2148,2145,1462,2,3,,,
100006015834_#1.jpg _P1,1463.000342,2147.000233,2145.002098,1461.000342,100006015834_#1.jpg _P1,1463,2147,2145,1461,2,2,,,
100006025829_#1.jpg _P1,1463.003076,2148.002095,2145.00373,1462,100006025829_#1.jpg _P1,1463,2148,2145,1462,1,3,,,
100006035824_#1.jpg _P1,1462.001368,2147.002096,2145.002098,1462,100006035824_#1.jpg _P1,1462,2147,2145,1462,0,2,,,
100006045819_#1.jpg _P1,1463.001367,2147.002096,2145.00373,1462,100006045819_#1.jpg _P1,1463,2147,2145,1462,1,2,,,
100006055814_#1.jpg _P1,1461.001369,2149.002094,2146.002097,1461.000342,100006055814_#1.jpg _P1,1461,2149,2146,1461,0,3,,,
100006065809_#1.jpg _P1,1463.000342,2147.000932,2146.002097,1462,100006065809_#1.jpg _P1,1463,2147,2146,1462,1,1,,,
100006075804_#1.jpg _P1,1463.001367,2149.000931,2146.002097,1462.000342,100006075804_#1.jpg _P1,1463,2149,2146,1462,1,3,,,
100006085896_#1.jpg _P1,1463.003076,2148.003724,2145.005827,1462,100006085896_#1.jpg _P1,1463,2148,2145,1462,1,3,,,
100006095891_#1.jpg _P1,1463.003076,2148.002095,2145.00373,1462,100006095891_#1.jpg _P1,1463,2148,2145,1462,1,3,,,
100006105832_#1.jpg _P1,1463.000342,2148.000931,2146,1461.00308,100006105832_#1.jpg _P1,1463,2148,2146,1461,2,2,,,
