卷號,左上X,左上Y,右上X,右上Y,左下X,左下Y,右下X,右下Y
0372_#1.jpg _P1,123,80,1552,83,119,2252,1546,2252
0373_#1.jpg _P1,125,79,1553,82,120,2250,1546,2251
0374_#1.jpg _P1,123,85,1552,87,119,2257,1546,2256
0375_#1.jpg _P1,124,85,1553,88,120,2257,1547,2257
0376_#1.jpg _P1,124,82,1552,84,119,2253,1545,2253
0377_#1.jpg _P1,121,87,1550,89,119,2258,1544,2258
0378_#1.jpg _P1,124,85,1552,87,119,2256,1546,2256
0379_#1.jpg _P1,121,81,1549,82,118,2252,1545,2251
0380_#1.jpg _P1,123,87,1551,89,120,2259,1547,2258
0381_#1.jpg _P1,123,81,1551,82,120,2252,1547,2252
0382_#1.jpg _P1,122,86,1551,87,119,2258,1546,2256
0383_#1.jpg _P1,122,86,1550,87,119,2257,1545,2257
0384_#1.jpg _P1,123,84,1551,87,118,2255,1544,2256
0385_#1.jpg _P1,124,86,1553,88,120,2256,1546,2257
0386_#1.jpg _P1,123,85,1551,87,119,2257,1545,2256
0387_#1.jpg _P1,124,85,1552,86,120,2255,1547,2255
0388_#1.jpg _P1,122,86,1550,88,119,2256,1545,2256
0389_#1.jpg _P1,121,87,1550,88,119,2257,1545,2257
0390_#1.jpg _P1,122,86,1551,88,119,2257,1545,2257
0391_#1.jpg _P1,120,87,1548,87,119,2256,1544,2256
0392_#1.jpg _P1,123,85,1550,86,120,2255,1545,2255
0393_#1.jpg _P1,120,85,1548,86,118,2256,1544,2254
0394_#1.jpg _P1,123,84,1551,86,119,2255,1545,2255
0395_#1.jpg _P1,121,87,1549,87,119,2257,1545,2256
0396_#1.jpg _P1,123,85,1551,87,120,2256,1545,2256
0397_#1.jpg _P1,122,86,1551,87,120,2257,1546,2256
0398_#1.jpg _P1,122,85,1550,87,119,2256,1545,2256
0399_#1.jpg _P1,123,85,1551,87,120,2255,1545,2256
0400_#1.jpg _P1,123,86,1550,87,119,2256,1545,2256
0401_#1.jpg _P1,122,85,1550,87,118,2256,1544,2256
0402_#1.jpg _P1,122,87,1550,88,119,2257,1545,2258
0403_#1.jpg _P1,122,86,1550,87,119,2256,1545,2256
0404_#1.jpg _P1,122,87,1551,89,119,2257,1545,2258
0405_#1.jpg _P1,121,87,1549,87,119,2257,1544,2256
0406_#1.jpg _P1,123,86,1551,88,119,2256,1546,2257
0407_#1.jpg _P1,121,86,1549,88,118,2257,1543,2257
0408_#1.jpg _P1,123,86,1551,88,120,2256,1545,2257
0409_#1.jpg _P1,123,87,1551,89,119,2257,1545,2258
0410_#1.jpg _P1,122,86,1549,86,119,2256,1545,2256
0411_#1.jpg _P1,124,86,1551,87,120,2256,1546,2256
0412_#1.jpg _P1,123,87,1550,88,120,2257,1545,2257
0413_#1.jpg _P1,122,86,1549,87,119,2256,1545,2256
0414_#1.jpg _P1,123,86,1550,87,120,2257,1546,2256
0415_#1.jpg _P1,123,86,1551,87,120,2256,1545,2256
0416_#1.jpg _P1,123,87,1551,89,120,2257,1546.738,2256.936
0417_#1.jpg _P1,123,88,1551,90,118,2258,1545,2259
